year,stateabbrev,income,margin_error,fare
2016,IN,52314,371,204.943969964319
2016,CO,65685,636,187.180654433594
2016,MA,75297,771,212.753291410484
2016,ID,51807,963,165.743536891322
2016,NJ,76126,701,98.0420439281176
2016,OK,49176,625,227.041289153508
2016,AZ,53558,634,199.096391184451
2016,OR,57532,855,182.415209856096
2016,NY,62909,631,228.997097405734
2016,OH,52334,275,210.550033470666
2016,MI,52492,402,211.371069701523
2016,KS,54935,893,182.560091975896
2016,MS,41754,556,247.124438642298
2016,KY,46659,600,229.122729424618
2016,LA,45146,776,203.140361508317
2016,WY,59882,2214,416.234784688995
2016,NE,56927,767,212.305411477513
2016,AR,44334,921,262.448811731973
2016,NV,55180,901,179.223077098441
2016,TX,56565,300,209.861423499338
2016,MT,50027,1096,201.293185720741
2016,ND,60656,1528,159.048849431818
2016,VA,68114,748,238.946089105813
2016,MO,51746,374,210.045722399409
2016,VT,57677,1672,165.058326146609
2016,MN,65599,606,213.649738258919
2016,SC,49501,601,189.974663472892
2016,CT,73433,1059,220.431723424611
2016,WA,67106,595,191.658559020338
2016,IL,60960,389,185.636860905118
2016,IA,56247,695,216.522838440652
2016,CA,67739,356,213.549722990963
2016,SD,54467,1289,153.573745762712
2016,ME,53079,1379,195.040264260981
2016,UT,65977,955,212.269729399659
2016,AL,46257,677,241.057567454332
2016,GA,53559,710,195.112640209108
2016,NC,50584,292,219.860198826791
2016,DC,75506,3416,210.164419541912
2016,PA,56907,360,216.089236038564
2016,WI,56811,549,194.54152070768
2016,TN,48547,675,212.819694890321
2016,FL,50860,241,182.516547225156
2016,NM,46748,826,211.895110783953
2015,VT,56990,1325,179.683432380952
2015,OH,51075,233,221.026768699037
2015,IN,50532,387,222.074765890711
2015,IA,54736,787,219.465900551358
2015,WI,55638,427,203.207155963303
2015,CT,71346,783,223.719384655262
2015,NE,54996,830,220.715379973839
2015,DC,75628,2493,215.71220966599
2015,MN,63488,669,235.388254612285
2015,SC,47238,547,184.522112853542
2015,AZ,51492,431,207.096698671043
2015,ID,48275,1093,173.330129715503
2015,NJ,72222,610,99.7519915720044
2015,NV,52431,978,189.058444742877
2015,KS,53906,872,186.91678329903
2015,PA,55702,377,225.454299268108
2015,MS,40593,543,237.126290115533
2015,NM,45382,870,211.231434114311
2015,UT,62912,1223,218.843099169644
2015,MA,70628,620,223.371683736174
2015,GA,51244,372,209.979272927429
2015,MO,50238,415,213.88625988944
2015,NY,60850,306,244.391449736689
